,Computers & Electronics
2014-12-28,88.0
2015-01-04,76.0
2015-01-11,80.0
2015-01-18,81.0
2015-01-25,81.0
2015-02-01,82.0
2015-02-08,85.0
2015-02-15,90.0
2015-02-22,85.0
2015-03-01,83.0
2015-03-08,84.0
2015-03-15,85.0
2015-03-22,84.0
2015-03-29,89.0
2015-04-05,84.0
2015-04-12,70.0
2015-04-19,89.0
2015-04-26,83.0
2015-05-03,82.0
2015-05-10,93.0
2015-05-17,92.0
2015-05-24,87.0
2015-05-31,86.0
2015-06-07,95.0
2015-06-14,92.0
2015-06-21,87.0
2015-06-28,93.0
2015-07-05,93.0
2015-07-12,94.0
2015-07-19,94.0
2015-07-26,84.0
2015-08-02,96.0
2015-08-09,93.0
2015-08-16,83.0
2015-08-23,88.0
2015-08-30,88.0
2015-09-06,90.0
2015-09-13,89.0
2015-09-20,85.0
2015-09-27,86.0
2015-10-04,94.0
2015-10-11,91.0
2015-10-18,89.0
2015-10-25,83.0
2015-11-01,89.0
2015-11-08,90.0
2015-11-15,88.0
2015-11-22,82.0
2015-11-29,92.0
2015-12-06,89.0
2015-12-13,100.0
2015-12-20,84.0
2015-12-27,83.0
2016-01-03,81.0
2016-01-10,80.0
2016-01-17,77.0
2016-01-24,80.0
2016-01-31,81.0
2016-02-07,88.0
2016-02-14,83.0
2016-02-21,81.0
2016-02-28,84.0
2016-03-06,85.0
2016-03-13,78.0
2016-03-20,76.0
2016-03-27,81.0
2016-04-03,81.0
2016-04-10,62.0
2016-04-17,77.0
2016-04-24,79.0
2016-05-01,84.0
2016-05-08,84.0
2016-05-15,78.0
2016-05-22,84.0
2016-05-29,88.0
2016-06-05,87.0
2016-06-12,83.0
2016-06-19,87.0
2016-06-26,85.0
2016-07-03,85.0
2016-07-10,81.0
2016-07-17,84.0
2016-07-24,87.0
2016-07-31,90.0
2016-08-07,89.0
2016-08-14,86.0
2016-08-21,86.0
2016-08-28,87.0
2016-09-04,86.0
2016-09-11,83.0
2016-09-18,87.0
2016-09-25,88.0
2016-10-02,92.0
2016-10-09,85.0
2016-10-16,86.0
2016-10-23,84.0
2016-10-30,89.0
2016-11-06,90.0
2016-11-13,85.0
2016-11-20,82.0
2016-11-27,84.0
2016-12-04,79.0
2016-12-11,80.0
2016-12-18,85.0
2016-12-25,90.0
2017-01-01,86.0
2017-01-08,80.0
2017-01-15,80.0
2017-01-22,83.0
2017-01-29,77.0
2017-02-05,79.0
2017-02-12,81.0
2017-02-19,84.0
2017-02-26,86.0
2017-03-05,82.0
2017-03-12,84.0
2017-03-19,85.0
2017-03-26,83.0
2017-04-02,83.0
2017-04-09,66.0
2017-04-16,83.0
2017-04-23,84.0
2017-04-30,84.0
2017-05-07,76.0
2017-05-14,79.0
2017-05-21,80.0
2017-05-28,78.0
2017-06-04,76.0
2017-06-11,83.0
2017-06-18,81.0
2017-06-25,77.0
2017-07-02,85.0
2017-07-09,85.0
2017-07-16,85.0
2017-07-23,80.0
2017-07-30,84.0
2017-08-06,81.0
2017-08-13,88.0
2017-08-20,84.0
2017-08-27,81.0
2017-09-03,79.0
2017-09-10,89.0
2017-09-17,88.0
2017-09-24,87.0
2017-10-01,83.0
2017-10-08,85.0
2017-10-15,88.0
2017-10-22,82.0
2017-10-29,83.0
2017-11-05,84.0
2017-11-12,84.0
2017-11-19,83.0
2017-11-26,80.0
2017-12-03,81.0
2017-12-10,79.0
2017-12-17,83.0
2017-12-24,81.0
2017-12-31,74.0
2018-01-07,78.0
2018-01-14,74.0
2018-01-21,76.0
2018-01-28,78.0
2018-02-04,76.0
2018-02-11,81.0
2018-02-18,76.0
2018-02-25,74.0
2018-03-04,85.0
2018-03-11,80.0
2018-03-18,79.0
2018-03-25,77.0
2018-04-01,78.0
2018-04-08,64.0
2018-04-15,65.0
2018-04-22,72.0
2018-04-29,74.0
2018-05-06,74.0
2018-05-13,77.0
2018-05-20,77.0
2018-05-27,77.0
2018-06-03,80.0
2018-06-10,80.0
2018-06-17,77.0
2018-06-24,73.0
2018-07-01,76.0
2018-07-08,79.0
2018-07-15,72.0
2018-07-22,77.0
2018-07-29,81.0
2018-08-05,81.0
2018-08-12,83.0
2018-08-19,79.0
2018-08-26,79.0
2018-09-02,76.0
2018-09-09,79.0
2018-09-16,79.0
2018-09-23,74.0
2018-09-30,78.0
2018-10-07,84.0
2018-10-14,82.0
2018-10-21,76.0
2018-10-28,78.0
2018-11-04,74.0
2018-11-11,73.0
2018-11-18,70.0
2018-11-25,79.0
2018-12-02,83.0
2018-12-09,79.0
2018-12-16,77.0
2018-12-23,74.0
2018-12-30,81.0
2019-01-06,79.0
2019-01-13,75.0
2019-01-20,73.0
2019-01-27,77.0
2019-02-03,76.0
2019-02-10,81.0
2019-02-17,77.0
2019-02-24,76.0
2019-03-03,75.0
2019-03-10,80.0
2019-03-17,73.0
2019-03-24,75.0
2019-03-31,78.0
2019-04-07,70.0
2019-04-14,60.0
2019-04-21,91.0
2019-04-28,72.0
2019-05-05,78.0
2019-05-12,78.0
2019-05-19,76.0
2019-05-26,77.0
2019-06-02,74.0
2019-06-09,80.0
2019-06-16,80.0
2019-06-23,84.0
2019-06-30,80.0
2019-07-07,81.0
2019-07-14,80.0
2019-07-21,80.0
2019-07-28,82.0
2019-08-04,81.0
2019-08-11,79.0
2019-08-18,81.0
2019-08-25,80.0
2019-09-01,80.0
2019-09-08,78.0
2019-09-15,76.0
2019-09-22,75.0
2019-09-29,77.0
2019-10-06,75.0
2019-10-13,80.0
2019-10-20,79.0
2019-10-27,77.0
2019-11-03,72.0
2019-11-10,71.0
2019-11-17,73.0
2019-11-24,78.0
2019-12-01,79.0
2019-12-08,74.0
2019-12-15,79.0
2019-12-22,77.0
2019-12-29,77.0
2020-01-05,74.14619442351167
2020-01-12,74.14619442351167
2020-01-19,77.17256970610399
2020-01-26,74.14619442351167
2020-02-02,71.11981914091936
2020-02-09,74.14619442351167
2020-02-16,75.65938206480783
2020-02-23,72.63300678221552
2020-03-01,75.65938206480783
2020-03-08,68.09344385832705
2020-03-15,65.06706857573474
2020-03-22,62.040693293142425
2020-03-29,63.55388093443858
2020-04-05,69.6066314996232
2020-04-12,60.52750565184627
2020-04-19,71.11981914091936
2020-04-26,71.11981914091936
2020-05-03,71.11981914091936
2020-05-10,74.14619442351167
2020-05-17,81.71213262999247
2020-05-24,80.1989449886963
2020-05-31,81.71213262999247
2020-06-07,81.71213262999247
2020-06-14,84.73850791258478
2020-06-21,86.25169555388094
2020-06-28,81.71213262999247
2020-07-05,80.1989449886963
2020-07-12,87.76488319517709
2020-07-19,84.73850791258478
2020-07-26,81.71213262999247
2020-08-02,78.68575734740014
2020-08-09,83.22532027128862
2020-08-16,78.68575734740014
2020-08-23,77.17256970610399
2020-08-30,72.63300678221552
2020-09-06,77.17256970610399
2020-09-13,77.17256970610399
2020-09-20,78.68575734740014
2020-09-27,72.63300678221552
2020-10-04,80.1989449886963
2020-10-11,80.1989449886963
2020-10-18,81.71213262999247
2020-10-25,77.17256970610399
2020-11-01,77.17256970610399
2020-11-08,86.25169555388094
2020-11-15,84.73850791258478
2020-11-22,86.25169555388094
2020-11-29,86.25169555388094
2020-12-06,90.7912584777694
2020-12-13,86.25169555388094
2020-12-20,84.73850791258478
2020-12-27,78.68575734740014
2021-01-03,86.25169555388094
2021-01-10,80.1989449886963
2021-01-17,83.22532027128862
2021-01-24,80.1989449886963
2021-01-31,77.17256970610399
2021-02-07,78.68575734740014
2021-02-14,78.68575734740014
2021-02-21,75.65938206480783
2021-02-28,77.17256970610399
2021-03-07,78.68575734740014
2021-03-14,78.68575734740014
2021-03-21,75.65938206480783
2021-03-28,83.22532027128862
