,Programming
2014-12-28,62
2015-01-04,68
2015-01-11,63
2015-01-18,70
2015-01-25,65
2015-02-01,72
2015-02-08,71
2015-02-15,70
2015-02-22,68
2015-03-01,64
2015-03-08,75
2015-03-15,74
2015-03-22,73
2015-03-29,71
2015-04-05,73
2015-04-12,71
2015-04-19,67
2015-04-26,67
2015-05-03,65
2015-05-10,68
2015-05-17,68
2015-05-24,66
2015-05-31,68
2015-06-07,67
2015-06-14,70
2015-06-21,75
2015-06-28,83
2015-07-05,88
2015-07-12,84
2015-07-19,87
2015-07-26,86
2015-08-02,88
2015-08-09,79
2015-08-16,87
2015-08-23,80
2015-08-30,82
2015-09-06,83
2015-09-13,76
2015-09-20,77
2015-09-27,73
2015-10-04,77
2015-10-11,78
2015-10-18,64
2015-10-25,76
2015-11-01,73
2015-11-08,49
2015-11-15,67
2015-11-22,71
2015-11-29,67
2015-12-06,74
2015-12-13,76
2015-12-20,70
2015-12-27,65
2016-01-03,74
2016-01-10,68
2016-01-17,77
2016-01-24,69
2016-01-31,77
2016-02-07,79
2016-02-14,81
2016-02-21,79
2016-02-28,75
2016-03-06,78
2016-03-13,77
2016-03-20,64
2016-03-27,76
2016-04-03,71
2016-04-10,76
2016-04-17,71
2016-04-24,74
2016-05-01,74
2016-05-08,73
2016-05-15,71
2016-05-22,75
2016-05-29,74
2016-06-05,78
2016-06-12,76
2016-06-19,81
2016-06-26,84
2016-07-03,77
2016-07-10,80
2016-07-17,88
2016-07-24,88
2016-07-31,85
2016-08-07,85
2016-08-14,70
2016-08-21,86
2016-08-28,86
2016-09-04,78
2016-09-11,81
2016-09-18,88
2016-09-25,82
2016-10-02,81
2016-10-09,70
2016-10-16,83
2016-10-23,70
2016-10-30,66
2016-11-06,76
2016-11-13,77
2016-11-20,80
2016-11-27,77
2016-12-04,77
2016-12-11,76
2016-12-18,83
2016-12-25,82
2017-01-01,83
2017-01-08,78
2017-01-15,80
2017-01-22,76
2017-01-29,83
2017-02-05,82
2017-02-12,79
2017-02-19,78
2017-02-26,81
2017-03-05,77
2017-03-12,77
2017-03-19,86
2017-03-26,83
2017-04-02,83
2017-04-09,80
2017-04-16,82
2017-04-23,82
2017-04-30,71
2017-05-07,79
2017-05-14,77
2017-05-21,80
2017-05-28,77
2017-06-04,82
2017-06-11,82
2017-06-18,83
2017-06-25,75
2017-07-02,83
2017-07-09,87
2017-07-16,89
2017-07-23,86
2017-07-30,87
2017-08-06,82
2017-08-13,77
2017-08-20,81
2017-08-27,84
2017-09-03,87
2017-09-10,88
2017-09-17,89
2017-09-24,77
2017-10-01,75
2017-10-08,89
2017-10-15,54
2017-10-22,81
2017-10-29,84
2017-11-05,87
2017-11-12,82
2017-11-19,80
2017-11-26,85
2017-12-03,86
2017-12-10,84
2017-12-17,81
2017-12-24,72
2017-12-31,76
2018-01-07,81
2018-01-14,80
2018-01-21,71
2018-01-28,85
2018-02-04,85
2018-02-11,85
2018-02-18,83
2018-02-25,71
2018-03-04,82
2018-03-11,83
2018-03-18,89
2018-03-25,84
2018-04-01,84
2018-04-08,83
2018-04-15,79
2018-04-22,82
2018-04-29,75
2018-05-06,77
2018-05-13,82
2018-05-20,83
2018-05-27,82
2018-06-03,83
2018-06-10,79
2018-06-17,86
2018-06-24,83
2018-07-01,90
2018-07-08,95
2018-07-15,90
2018-07-22,92
2018-07-29,99
2018-08-05,89
2018-08-12,84
2018-08-19,93
2018-08-26,93
2018-09-02,100
2018-09-09,87
2018-09-16,94
2018-09-23,94
2018-09-30,87
2018-10-07,99
2018-10-14,76
2018-10-21,92
2018-10-28,88
2018-11-04,56
2018-11-11,87
2018-11-18,91
2018-11-25,91
2018-12-02,92
2018-12-09,89
2018-12-16,87
2018-12-23,80
2018-12-30,79
2019-01-06,88
2019-01-13,76
2019-01-20,89
2019-01-27,88
2019-02-03,92
2019-02-10,93
2019-02-17,95
2019-02-24,90
2019-03-03,94
2019-03-10,90
2019-03-17,87
2019-03-24,92
2019-03-31,88
2019-04-07,81
2019-04-14,73
2019-04-21,85
2019-04-28,76
2019-05-05,79
2019-05-12,84
2019-05-19,84
2019-05-26,80
2019-06-02,77
2019-06-09,87
2019-06-16,83
2019-06-23,87
2019-06-30,88
2019-07-07,86
2019-07-14,97
2019-07-21,93
2019-07-28,97
2019-08-04,83
2019-08-11,75
2019-08-18,95
2019-08-25,93
2019-09-01,84
2019-09-08,90
2019-09-15,93
2019-09-22,95
2019-09-29,79
2019-10-06,75
2019-10-13,88
2019-10-20,77
2019-10-27,63
2019-11-03,83
2019-11-10,83
2019-11-17,92
2019-11-24,87
2019-12-01,82
2019-12-08,85
2019-12-15,85
2019-12-22,72
2019-12-29,75
2020-01-05,86
