,Architecture
2014-12-28,62
2015-01-04,45
2015-01-11,50
2015-01-18,43
2015-01-25,45
2015-02-01,49
2015-02-08,45
2015-02-15,76
2015-02-22,50
2015-03-01,46
2015-03-08,61
2015-03-15,65
2015-03-22,52
2015-03-29,69
2015-04-05,61
2015-04-12,49
2015-04-19,52
2015-04-26,56
2015-05-03,52
2015-05-10,54
2015-05-17,53
2015-05-24,57
2015-05-31,48
2015-06-07,70
2015-06-14,65
2015-06-21,61
2015-06-28,60
2015-07-05,66
2015-07-12,55
2015-07-19,66
2015-07-26,63
2015-08-02,63
2015-08-09,51
2015-08-16,51
2015-08-23,57
2015-08-30,55
2015-09-06,60
2015-09-13,63
2015-09-20,64
2015-09-27,53
2015-10-04,54
2015-10-11,59
2015-10-18,57
2015-10-25,47
2015-11-01,57
2015-11-08,60
2015-11-15,57
2015-11-22,51
2015-11-29,48
2015-12-06,58
2015-12-13,50
2015-12-20,53
2015-12-27,63
2016-01-03,61
2016-01-10,67
2016-01-17,63
2016-01-24,71
2016-01-31,62
2016-02-07,70
2016-02-14,78
2016-02-21,59
2016-02-28,66
2016-03-06,67
2016-03-13,67
2016-03-20,72
2016-03-27,67
2016-04-03,58
2016-04-10,48
2016-04-17,48
2016-04-24,67
2016-05-01,72
2016-05-08,61
2016-05-15,55
2016-05-22,64
2016-05-29,67
2016-06-05,65
2016-06-12,64
2016-06-19,60
2016-06-26,64
2016-07-03,82
2016-07-10,62
2016-07-17,65
2016-07-24,67
2016-07-31,68
2016-08-07,77
2016-08-14,78
2016-08-21,66
2016-08-28,73
2016-09-04,58
2016-09-11,64
2016-09-18,62
2016-09-25,60
2016-10-02,71
2016-10-09,79
2016-10-16,65
2016-10-23,68
2016-10-30,77
2016-11-06,71
2016-11-13,65
2016-11-20,73
2016-11-27,64
2016-12-04,73
2016-12-11,95
2016-12-18,73
2016-12-25,83
2017-01-01,89
2017-01-08,90
2017-01-15,78
2017-01-22,81
2017-01-29,86
2017-02-05,85
2017-02-12,100
2017-02-19,93
2017-02-26,85
2017-03-05,78
2017-03-12,81
2017-03-19,80
2017-03-26,80
2017-04-02,63
2017-04-09,57
2017-04-16,77
2017-04-23,74
2017-04-30,69
2017-05-07,50
2017-05-14,70
2017-05-21,80
2017-05-28,61
2017-06-04,65
2017-06-11,77
2017-06-18,61
2017-06-25,61
2017-07-02,71
2017-07-09,70
2017-07-16,79
2017-07-23,64
2017-07-30,61
2017-08-06,68
2017-08-13,81
2017-08-20,68
2017-08-27,71
2017-09-03,63
2017-09-10,58
2017-09-17,72
2017-09-24,61
2017-10-01,75
2017-10-08,68
2017-10-15,72
2017-10-22,75
2017-10-29,62
2017-11-05,67
2017-11-12,71
2017-11-19,61
2017-11-26,60
2017-12-03,70
2017-12-10,70
2017-12-17,74
2017-12-24,72
2017-12-31,66
2018-01-07,69
2018-01-14,70
2018-01-21,62
2018-01-28,80
2018-02-04,76
2018-02-11,71
2018-02-18,80
2018-02-25,65
2018-03-04,65
2018-03-11,63
2018-03-18,73
2018-03-25,71
2018-04-01,72
2018-04-08,58
2018-04-15,54
2018-04-22,56
2018-04-29,57
2018-05-06,61
2018-05-13,76
2018-05-20,64
2018-05-27,78
2018-06-03,65
2018-06-10,66
2018-06-17,68
2018-06-24,58
2018-07-01,74
2018-07-08,74
2018-07-15,78
2018-07-22,68
2018-07-29,77
2018-08-05,85
2018-08-12,78
2018-08-19,77
2018-08-26,62
2018-09-02,78
2018-09-09,68
2018-09-16,72
2018-09-23,76
2018-09-30,81
2018-10-07,77
2018-10-14,78
2018-10-21,73
2018-10-28,78
2018-11-04,78
2018-11-11,59
2018-11-18,64
2018-11-25,68
2018-12-02,71
2018-12-09,73
2018-12-16,82
2018-12-23,76
2018-12-30,92
2019-01-06,83
2019-01-13,81
2019-01-20,60
2019-01-27,77
2019-02-03,83
2019-02-10,75
2019-02-17,68
2019-02-24,74
2019-03-03,68
2019-03-10,80
2019-03-17,83
2019-03-24,72
2019-03-31,62
2019-04-07,53
2019-04-14,68
2019-04-21,70
2019-04-28,68
2019-05-05,61
2019-05-12,66
2019-05-19,61
2019-05-26,61
2019-06-02,73
2019-06-09,66
2019-06-16,75
2019-06-23,78
2019-06-30,70
2019-07-07,68
2019-07-14,64
2019-07-21,76
2019-07-28,68
2019-08-04,81
2019-08-11,65
2019-08-18,68
2019-08-25,59
2019-09-01,63
2019-09-08,71
2019-09-15,78
2019-09-22,74
2019-09-29,62
2019-10-06,65
2019-10-13,68
2019-10-20,55
2019-10-27,68
2019-11-03,62
2019-11-10,60
2019-11-17,73
2019-11-24,62
2019-12-01,57
2019-12-08,53
2019-12-15,62
2019-12-22,67
2019-12-29,72
2020-01-05,79
